region,url,fpath,granule_id,dataset_id,start_time,end_time,spatial_extent
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023145.h09v06.061.2023154043201/MOD11A2.A2023145.h09v06.061.2023154043201.hdf,./data/MODIS-LST/urban/MOD11A2.A2023145.h09v06.061.2023154043201.hdf,G2704231088-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-05-25T00:00:00.000Z,2023-06-01T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023145.h09v06.061.2023154043201/MOD11A2.A2023145.h09v06.061.2023154043201.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023145.h09v06.061.2023154043201.cmr.xml,G2704231088-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-05-25T00:00:00.000Z,2023-06-01T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023145.h09v06.061.2023154043201/MOD11A2.A2023145.h09v06.061.2023154043201.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023145.h09v06.061.2023154043201.cmr.xml,G2704231088-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-05-25T00:00:00.000Z,2023-06-01T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2704231088-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-05-25T00:00:00.000Z,2023-06-01T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023153.h09v06.061.2023164032102/MOD11A2.A2023153.h09v06.061.2023164032102.hdf,./data/MODIS-LST/urban/MOD11A2.A2023153.h09v06.061.2023164032102.hdf,G2709329705-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-02T00:00:00.000Z,2023-06-09T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023153.h09v06.061.2023164032102/MOD11A2.A2023153.h09v06.061.2023164032102.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023153.h09v06.061.2023164032102.cmr.xml,G2709329705-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-02T00:00:00.000Z,2023-06-09T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023153.h09v06.061.2023164032102/MOD11A2.A2023153.h09v06.061.2023164032102.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023153.h09v06.061.2023164032102.cmr.xml,G2709329705-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-02T00:00:00.000Z,2023-06-09T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2709329705-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-02T00:00:00.000Z,2023-06-09T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023161.h09v06.061.2023170174522/MOD11A2.A2023161.h09v06.061.2023170174522.hdf,./data/MODIS-LST/urban/MOD11A2.A2023161.h09v06.061.2023170174522.hdf,G2715588619-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-10T00:00:00.000Z,2023-06-17T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023161.h09v06.061.2023170174522/MOD11A2.A2023161.h09v06.061.2023170174522.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023161.h09v06.061.2023170174522.cmr.xml,G2715588619-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-10T00:00:00.000Z,2023-06-17T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023161.h09v06.061.2023170174522/MOD11A2.A2023161.h09v06.061.2023170174522.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023161.h09v06.061.2023170174522.cmr.xml,G2715588619-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-10T00:00:00.000Z,2023-06-17T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2715588619-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-10T00:00:00.000Z,2023-06-17T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023169.h09v06.061.2023178032028/MOD11A2.A2023169.h09v06.061.2023178032028.hdf,./data/MODIS-LST/urban/MOD11A2.A2023169.h09v06.061.2023178032028.hdf,G2720713652-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-18T00:00:00.000Z,2023-06-25T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023169.h09v06.061.2023178032028/MOD11A2.A2023169.h09v06.061.2023178032028.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023169.h09v06.061.2023178032028.cmr.xml,G2720713652-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-18T00:00:00.000Z,2023-06-25T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023169.h09v06.061.2023178032028/MOD11A2.A2023169.h09v06.061.2023178032028.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023169.h09v06.061.2023178032028.cmr.xml,G2720713652-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-18T00:00:00.000Z,2023-06-25T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2720713652-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-18T00:00:00.000Z,2023-06-25T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023177.h09v06.061.2023191223224/MOD11A2.A2023177.h09v06.061.2023191223224.hdf,./data/MODIS-LST/urban/MOD11A2.A2023177.h09v06.061.2023191223224.hdf,G2730471847-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-26T00:00:00.000Z,2023-07-03T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023177.h09v06.061.2023191223224/MOD11A2.A2023177.h09v06.061.2023191223224.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023177.h09v06.061.2023191223224.cmr.xml,G2730471847-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-26T00:00:00.000Z,2023-07-03T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023177.h09v06.061.2023191223224/MOD11A2.A2023177.h09v06.061.2023191223224.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023177.h09v06.061.2023191223224.cmr.xml,G2730471847-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-26T00:00:00.000Z,2023-07-03T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2730471847-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-26T00:00:00.000Z,2023-07-03T23:59:59.000Z,N/A
