Year-Day,Date,Start Time (UTC),End Time (UTC),Comments,start,end
2024-178,"June 26, 2024",02:15:00,02:20:00,EDOS Outage,2024-06-26,
2024-177,"June 25, 2024",21:45:00,22:00:00,EDOS Outage DMU 243,2024-06-25,
2024-172,"June 20, 2024",01:15:00,03:30:00,EDOS Power Outage at White Sands,2024-06-20,
2024-171 - 2024-172,"June 19, 2024 - June 20, 2024",23:05:00,00:20:00,EDOS Power Outage at White Sands,2024-06-19,2024-06-20
2024-170,"June 18, 2024",01:10:00,02:15:00,Invalid Orbit Number,2024-06-18,
2024-168,"June 16, 2024",01:20:00,02:30:00,EDOS AMATTN0 data outage,2024-06-16,
2024-157,"June 5, 2024",14:50:00,15:35:00,EDOS Outage,2024-06-05,
2024-141,"May 20, 2024",01:15:00,01:40:00,NorthBoundingCoord is less than SouthBoundingCoord,2024-05-20,
2024-132 - 2024-133,"May 11, 2024 - May 12, 2024",08:00:00,16:35:00,EDOS Outage,2024-05-11,2024-05-12
2024-111,"April 20, 2024",00:00:00,04:55:00,Missing Ancillary,2024-04-20,
2024-110 - 2024-111,"April 19, 2024 - April 20, 2024",21:35:00,00:00:00,Missing Ancillary,2024-04-19,2024-04-20
2024-106,"April 15, 2024",01:35:00,05:20:00,EDOS Outage and Missing Ancillary,2024-04-15,
2024-094,"April 3, 2024",19:30:00,21:20:00,EDOS Outage,2024-04-03,
2024-071,"March 11, 2024",23:40:00,23:45:00,EDOS Outage,2024-03-11,
2024-060,"February 29, 2024",00:40:00,00:55:00,EDOS Outage,2024-02-29,
2024-059,"February 28, 2024",06:40:00,07:40:00,EDOS Outage,2024-02-28,
2024-054,"February 23, 2024",04:05:00,04:20:00,EDOS Outage,2024-02-23,
2024-054,"February 23, 2024",02:35:00,02:40:00,EDOS Outage,2024-02-23,
2024-051,"February 20, 2024",11:25:00,14:55:00,LDOPE Outage,2024-02-20,
2024-040,"February 9, 2024",06:40:00,07:40:00,EDOS Outage,2024-02-09,
2024-038,"February 7, 2024",12:55:00,17:40:00,EDOS Outage,2024-02-07,
2024-037,"February 6, 2024",12:50:00,13:40:00,EDOS Outage,2024-02-06,
2024-030,"January 30, 2024",12:55:00,13:30:00,EDOS Outage,2024-01-30,
2024-026,"January 26, 2024",08:10:00,08:35:00,EDOS Outage,2024-01-26,
2024-016 - 2024-017,"January 16, 2024 - January 17, 2024",23:55:00,00:05:00,EDOS Outage,2024-01-16,2024-01-17
2024-008 - 2024-009,"January 8, 2024 - January 9, 2024",23:30:00,00:10:00,Invalid Orbit Number & NorthBoundingCoord is less than SouthBoundingCoord,2024-01-08,2024-01-09
2024-005,"January 5, 2024",01:10:00,02:00:00,EDOS Outage,2024-01-05,
2024-003,"January 3, 2024",08:10:00,08:55:00,EDOS Outage,2024-01-03,
2024-002,"January 2, 2024",15:55:00,16:20:00,EDOS Outage,2024-01-02,
2023-356,"December 22, 2023",18:05:00,18:25:00,EDOS Outage,2023-12-22,
2023-356,"December 22, 2023",15:00:00,16:15:00,EDOS Outage,2023-12-22,
2023-288,"October 15, 2023",08:00:00,08:05:00,Bad Level 0,2023-10-15,
2023-283,"October 10, 2023",07:20:00,07:50:00,LDOPE Outage,2023-10-10,
2023-272,"September 29, 2023",00:30:00,00:40:00,NorthBoundingCoord is less than SouthBoundingCoord,2023-09-29,
2023-257,"September 14, 2023",07:10:00,07:30:00,LDOPE Outage,2023-09-14,
2023-246 - 2023-247,"September 3, 2023 - September 4, 2023",23:45:00,01:15:00,LDOPE Outage,2023-09-03,2023-09-04
2023-234,"August 22, 2023",10:45:00,11:00:00,LDOPE Outage,2023-08-22,
2023-219,"August 7, 2023",11:40:00,12:20:00,LDOPE Outage,2023-08-07,
2023-196,"July 15, 2023",01:45:00,02:15:00,NorthBoundingCoord is less than SouthBoundingCoord & Corrupt L0,2023-07-15,
2023-189,"July 8, 2023",01:20:00,01:25:00,Telemetry data are bad and crashed,2023-07-08,
2023-036,"February 5, 2023",14:20:00,15:10:00,NorthBoundingCoord is less than SouthBoundingCoord,2023-02-05,
2022-283 - 2022-296,"October 10, 2022 - October 23, 2022",13:00:00,22:35:00,LDOPE Outage; Terra Constellation Exit Maneuver,2022-10-10,2022-10-23
2022-209,"July 28, 2022",16:20:00,18:20:00,LDOPE Outage DMU 138,2022-07-28,
2022-169,"June 18, 2022",10:45:00,10:55:00,LDOPE Outage; MODIS Roll 225,2022-06-18,
2022-153,"June 2, 2022",17:10:00,19:10:00,LDOPE Outage; DMU 137,2022-06-02,
2022-153,"June 2, 2022",15:30:00,19:10:00,LDOPE Outage; DMU 137,2022-06-02,
2022-097,"April 7, 2022",01:45:00,02:00:00,LDOPE Outage; DMU 136,2022-04-07,
2022-097,"April 7, 2022",00:20:00,00:30:00,LDOPE Outage; DMU 136,2022-04-07,
2022-054,"February 23, 2022",18:30:00,18:40:00,LDOPE Outage; DMU 134,2022-02-23,
2022-054,"February 23, 2022",16:55:00,17:05:00,LDOPE Outage; DMU 134,2022-02-23,
2022-013,"January 13, 2022",16:55:00,17:20:00,LDOPE Outage; DMU 133,2022-01-13,
2021-350,"December 16, 2021",16:35:00,16:50:00,LDOPE Outage;,2021-12-16,
2021-350,"December 16, 2021",15:10:00,15:15:00,LDOPE Outage;,2021-12-16,
2021-300,"October 27, 2021",16:50:00,17:05:00,Maneuver LDOPE Outage,2021-10-27,
2021-300,"October 27, 2021",15:15:00,15:20:00,Maneuver LDOPE Outage,2021-10-27,
